time,channel,band,power
6.859375,AF7,delta,0.6331218854563526
6.9453125,AF7,delta,0.7289269071744838
7.03125,AF7,delta,0.8059757229459873
7.1171875,AF7,delta,0.9485303543920035
7.203125,AF7,delta,1.0765299188267385
7.2890625,AF7,delta,1.2273212969316356
7.375,AF7,delta,1.3734277111281123
7.4609375,AF7,delta,1.5012974156694159
7.546875,AF7,delta,1.555111409298328
7.6328125,AF7,delta,1.5680935598933508
7.71875,AF7,delta,1.5333457914849393
7.8046875,AF7,delta,1.3968066008476816
7.890625,AF7,delta,1.1885520420214521
7.9765625,AF7,delta,0.9921987362422106
8.0625,AF7,delta,0.9214709198104365
8.1484375,AF7,delta,0.9820161339997734
8.234375,AF7,delta,1.0658437069974687
8.3203125,AF7,delta,1.1802678379712899
8.40625,AF7,delta,1.1266535246729108
8.4921875,AF7,delta,1.0860645530887882
8.578125,AF7,delta,1.0375874417317688
8.6640625,AF7,delta,1.22338328542544
8.75,AF7,delta,1.4747123179476134
8.8359375,AF7,delta,1.7168941555833417
8.921875,AF7,delta,1.886551123738774
9.0078125,AF7,delta,1.9836138980026745
9.09375,AF7,delta,2.3867932460147943
9.1796875,AF7,delta,2.7219404953461255
9.265625,AF7,delta,2.964865784577233
9.3515625,AF7,delta,3.129970799537022
9.4375,AF7,delta,3.273279610590981
9.5234375,AF7,delta,3.346608926827859
9.609375,AF7,delta,3.3442435650815314
9.6953125,AF7,delta,3.313636173906806
9.78125,AF7,delta,3.2809846195603423
9.8671875,AF7,delta,3.2442222830654512
9.953125,AF7,delta,3.157167905517616
10.0390625,AF7,delta,2.9462984539457087
10.125,AF7,delta,2.7382870512177924
10.2109375,AF7,delta,2.5673459933786575
10.296875,AF7,delta,2.326865108291812
10.3828125,AF7,delta,2.032958664493791
10.46875,AF7,delta,2.0069097658752293
10.5546875,AF7,delta,2.0512434509482693
10.640625,AF7,delta,2.0111396756346096
10.7265625,AF7,delta,1.8753492683313784
10.8125,AF7,delta,1.7061245244400773
10.8984375,AF7,delta,1.592560854405643
10.984375,AF7,delta,1.5194054492301192
11.0703125,AF7,delta,1.4856775447110442
11.15625,AF7,delta,1.3366161026210939
11.2421875,AF7,delta,1.1230709596024444
11.328125,AF7,delta,1.0095748558631954
11.4140625,AF7,delta,1.0375171182334324
11.5,AF7,delta,1.123860018075255
11.5859375,AF7,delta,1.157638981759829
11.671875,AF7,delta,1.110418498742879
11.7578125,AF7,delta,1.0225558411942846
11.84375,AF7,delta,0.9083999655033973
11.9296875,AF7,delta,0.7701727520984096
12.015625,AF7,delta,0.757377325068149
12.1015625,AF7,delta,0.6399055821456267
12.1875,AF7,delta,0.7111992112652116
12.2734375,AF7,delta,0.8580525571470287
12.359375,AF7,delta,1.0324180838038857
12.4453125,AF7,delta,1.1316137599902814
12.53125,AF7,delta,1.150169060464488
12.6171875,AF7,delta,1.094295274591315
12.703125,AF7,delta,1.049645184906259
12.7890625,AF7,delta,1.01217929242435
12.875,AF7,delta,1.0814197147910785
12.9609375,AF7,delta,1.1535084027056877
13.046875,AF7,delta,1.1937234751524797
13.1328125,AF7,delta,1.1891321625820874
13.21875,AF7,delta,1.1721662832510156
13.3046875,AF7,delta,1.1467081381303403
13.390625,AF7,delta,1.1019977088586488
13.4765625,AF7,delta,1.0571829350769697
13.5625,AF7,delta,1.0631628102503845
13.6484375,AF7,delta,1.1353703493487517
13.734375,AF7,delta,1.2101209084759266
13.8203125,AF7,delta,1.2313062251421132
13.90625,AF7,delta,1.2455621189693677
13.9921875,AF7,delta,1.2444860085092002
14.078125,AF7,delta,1.2508749647132904
14.1640625,AF7,delta,1.2794061850437517
14.25,AF7,delta,1.359640295664127
14.3359375,AF7,delta,1.4636685630595698
14.421875,AF7,delta,1.4433037601161711
14.5078125,AF7,delta,1.4143942668048355
14.59375,AF7,delta,1.3598561061919856
14.6796875,AF7,delta,1.2553260877639723
14.765625,AF7,delta,1.1308232632114288
14.8515625,AF7,delta,1.116689526173898
14.9375,AF7,delta,1.1200632651319933
15.0234375,AF7,delta,1.1993349067101922
15.109375,AF7,delta,1.3948917200844597
15.1953125,AF7,delta,1.6376880058221104
15.28125,AF7,delta,1.7051488677440632
15.3671875,AF7,delta,2.0462649374996564
15.453125,AF7,delta,2.4493709764636176
15.5390625,AF7,delta,2.790301511129408
15.625,AF7,delta,3.052642276375215
15.7109375,AF7,delta,3.2290783636764755
15.796875,AF7,delta,3.321276519388119
15.8828125,AF7,delta,3.302932505866297
15.96875,AF7,delta,3.2175103107597463
16.0546875,AF7,delta,3.1254909187279853
16.140625,AF7,delta,3.0632023788445037
16.2265625,AF7,delta,3.02065556068958
16.3125,AF7,delta,2.909635417951482
16.3984375,AF7,delta,2.7910441656142755
16.484375,AF7,delta,2.5884280053439284
16.5703125,AF7,delta,2.3080988926149137
16.65625,AF7,delta,1.9637016324395533
16.7421875,AF7,delta,1.6446659102667467
16.828125,AF7,delta,1.3864300192049708
16.9140625,AF7,delta,1.0235794254529942
17.0,AF7,delta,0.21924577407286006
17.0859375,AF7,delta,0.5317553408745486
17.171875,AF7,delta,0.5582299115048089
17.2578125,AF7,delta,0.9155175390328767
17.34375,AF7,delta,1.3178173426961504
17.4296875,AF7,delta,1.6033603480511014
17.515625,AF7,delta,1.7883986943610846
17.6015625,AF7,delta,1.9211910562588528
17.6875,AF7,delta,2.0252445748526786
17.7734375,AF7,delta,2.0606767060620257
17.859375,AF7,delta,2.037822320499399
17.9453125,AF7,delta,2.059609390237541
18.03125,AF7,delta,2.0749073225199504
18.1171875,AF7,delta,2.1618350281281624
18.203125,AF7,delta,2.261584263646535
18.2890625,AF7,delta,2.3542514291411356
18.375,AF7,delta,2.3994835940607033
