unix_ms,lsl_unix_ts,PPG1,PPG2,PPG3
1767829403751,1767829403.7429376,541.0,118152.0,57604.0
1767829403751,1767829403.742953,543.0,118081.0,57593.0
1767829403751,1767829403.7429688,543.0,118108.0,57625.0
1767829403751,1767829403.7429843,543.0,118133.0,57608.0
1767829403848,1767829403.8319063,543.0,118076.0,57569.0
1767829403848,1767829403.8319218,543.0,118156.0,57603.0
1767829403848,1767829403.8319376,544.0,118193.0,57606.0
1767829403848,1767829403.831953,543.0,118159.0,57623.0
1767829403848,1767829403.8319688,544.0,118238.0,57616.0
1767829403848,1767829403.8319843,543.0,118123.0,57638.0
1767829403941,1767829403.9369063,543.0,118217.0,57657.0
1767829403941,1767829403.9369218,543.0,118271.0,57638.0
1767829403941,1767829403.9369376,544.0,118234.0,57630.0
1767829403941,1767829403.936953,542.0,118278.0,57651.0
1767829403941,1767829403.9369688,544.0,118305.0,57669.0
1767829403941,1767829403.9369843,543.0,118291.0,57684.0
1767829404030,1767829404.0279064,544.0,118152.0,57657.0
1767829404030,1767829404.027922,544.0,118387.0,57635.0
1767829404030,1767829404.0279377,543.0,118267.0,57680.0
1767829404030,1767829404.0279531,543.0,118285.0,57649.0
1767829404030,1767829404.027969,544.0,118264.0,57661.0
1767829404030,1767829404.0279844,545.0,118260.0,57659.0
1767829404124,1767829404.1169064,544.0,118157.0,57621.0
1767829404124,1767829404.116922,544.0,118127.0,57626.0
1767829404124,1767829404.1169376,545.0,118196.0,57602.0
1767829404124,1767829404.1169531,547.0,118188.0,57589.0
1767829404124,1767829404.1169689,546.0,118121.0,57569.0
1767829404124,1767829404.1169844,547.0,118133.0,57604.0
1767829404241,1767829404.2069063,546.0,118005.0,57558.0
1767829404241,1767829404.2069218,550.0,118155.0,57583.0
1767829404241,1767829404.2069376,549.0,118021.0,57569.0
1767829404241,1767829404.206953,549.0,118047.0,57566.0
1767829404241,1767829404.2069688,550.0,117924.0,57549.0
1767829404241,1767829404.2069843,552.0,118071.0,57581.0
1767829404318,1767829404.3119063,552.0,118038.0,57572.0
1767829404318,1767829404.3119218,553.0,118094.0,57582.0
1767829404318,1767829404.3119376,553.0,118156.0,57575.0
1767829404318,1767829404.311953,553.0,118148.0,57568.0
1767829404318,1767829404.3119688,554.0,118118.0,57587.0
1767829404318,1767829404.3119843,553.0,118121.0,57578.0
1767829404410,1767829404.4019063,552.0,117949.0,57577.0
1767829404410,1767829404.4019217,553.0,118106.0,57606.0
1767829404410,1767829404.4019375,553.0,118121.0,57583.0
1767829404410,1767829404.401953,554.0,118157.0,57578.0
1767829404410,1767829404.4019687,555.0,118201.0,57582.0
1767829404410,1767829404.4019842,553.0,118176.0,57611.0
1767829404497,1767829404.4909062,554.0,118149.0,57581.0
1767829404497,1767829404.4909217,554.0,118278.0,57608.0
1767829404497,1767829404.4909375,553.0,118173.0,57607.0
1767829404497,1767829404.490953,555.0,118072.0,57602.0
1767829404497,1767829404.4909687,555.0,118268.0,57641.0
1767829404497,1767829404.4909842,554.0,118272.0,57617.0
1767829404599,1767829404.5819063,555.0,118151.0,57634.0
1767829404599,1767829404.5819218,556.0,118323.0,57624.0
1767829404599,1767829404.5819376,553.0,118237.0,57621.0
1767829404599,1767829404.581953,553.0,118209.0,57607.0
1767829404599,1767829404.5819688,554.0,118156.0,57620.0
1767829404599,1767829404.5819843,556.0,118293.0,57643.0
1767829404715,1767829404.7019062,554.0,118357.0,57629.0
1767829404715,1767829404.7019217,554.0,118302.0,57634.0
1767829404715,1767829404.7019374,555.0,118257.0,57628.0
1767829404715,1767829404.701953,555.0,118332.0,57586.0
1767829404715,1767829404.7019687,553.0,118228.0,57631.0
1767829404715,1767829404.7019842,553.0,118216.0,57607.0
1767829404780,1767829404.7759063,553.0,118140.0,57575.0
1767829404780,1767829404.7759218,553.0,118145.0,57558.0
1767829404780,1767829404.7759376,554.0,118165.0,57564.0
1767829404780,1767829404.775953,554.0,118227.0,57567.0
1767829404780,1767829404.7759688,552.0,118196.0,57599.0
1767829404780,1767829404.7759843,553.0,118104.0,57559.0
1767829404871,1767829404.8669064,556.0,118220.0,57562.0
1767829404871,1767829404.866922,553.0,118153.0,57562.0
1767829404871,1767829404.8669376,554.0,118180.0,57578.0
1767829404871,1767829404.8669531,553.0,118179.0,57575.0
1767829404871,1767829404.8669689,555.0,118226.0,57595.0
1767829404871,1767829404.8669844,555.0,118172.0,57586.0
1767829404975,1767829404.9569063,555.0,118185.0,57604.0
