unix_ms,lsl_unix_ts,X,Y,Z
1767829402995,1767829402.9929423,-1.6000351905822754,-10.594625473022461,-3.4168975353240967
1767829402995,1767829402.9929616,-1.495360016822815,-8.366539001464844,-1.0542287826538086
1767829402995,1767829402.9929807,-2.661740779876709,-4.299160003662109,0.2542111873626709
1767829403056,1767829403.0519423,-5.345911979675293,-0.20935040712356567,-0.5158991813659668
1767829403056,1767829403.0519617,-8.059989929199219,3.8505520820617676,-2.302854299545288
1767829403056,1767829403.0519807,-9.099266052246094,9.293662071228027,-4.381404876708984
1767829403133,1767829403.1279423,-8.209526062011719,15.948014259338379,-5.465540885925293
1767829403133,1767829403.1279616,-6.175836563110352,22.60984230041504,-4.755244731903076
1767829403134,1767829403.1279807,-4.837489604949951,27.978185653686523,-3.3720366954803467
1767829403173,1767829403.1719422,-3.9776575565338135,31.08853530883789,-1.5626511573791504
1767829403173,1767829403.1719615,-3.6038177013397217,31.753969192504883,-0.014953600242733955
1767829403173,1767829403.1719806,-3.5589568614959717,30.74460220336914,1.8019088506698608
1767829403233,1767829403.2319424,-3.297268867492676,28.785680770874023,3.3869903087615967
1767829403233,1767829403.2319617,-2.82623028755188,26.273475646972656,3.9178431034088135
1767829403233,1767829403.2319808,-3.05053448677063,23.37247657775879,3.5664336681365967
1767829403287,1767829403.2779424,-3.4094207286834717,20.523815155029297,2.624356746673584
1767829403287,1767829403.2779617,-3.5888640880584717,17.764877319335938,1.3832080364227295
1767829403287,1767829403.2779808,-4.082332611083984,15.230241775512695,0.15701280534267426
1767829403342,1767829403.3399422,-4.269252777099609,14.033953666687012,-1.0243215560913086
1767829403342,1767829403.3399615,-4.643092632293701,13.368518829345703,-1.7495712041854858
1767829403342,1767829403.3399806,-4.904780864715576,12.979724884033203,-2.168272018432617
1767829403398,1767829403.3959422,-5.779566287994385,12.134846687316895,-2.601926326751709
1767829403398,1767829403.3959615,-6.557153701782227,9.817038536071777,-3.03558087348938
1767829403398,1767829403.3959806,-7.446892738342285,6.430047988891602,-3.7010159492492676
1767829403463,1767829403.4559424,-8.082420349121094,2.773892879486084,-4.605708599090576
1767829403464,1767829403.4559617,-8.059989929199219,-0.2766416072845459,-5.495448112487793
1767829403464,1767829403.4559808,-7.40950870513916,-2.489774465560913,-5.74218225479126
1767829403518,1767829403.5169423,-7.132867336273193,-3.9851343631744385,-6.370233535766602
1767829403518,1767829403.5169616,-6.773980617523193,-6.093592166900635,-6.392663955688477
1767829403518,1767829403.5169806,-7.192681789398193,-8.456260681152344,-6.841271877288818
1767829403568,1767829403.5629423,-6.945947170257568,-9.076835632324219,-6.579584121704102
1767829403568,1767829403.5629616,-5.749659061431885,-7.372124671936035,-4.732814311981201
1767829403568,1767829403.5629807,-4.680476665496826,-5.458064079284668,-2.086027145385742
1767829403626,1767829403.6249423,-4.074855804443359,-5.77208948135376,-0.40374720096588135
1767829403626,1767829403.6249616,-3.6337246894836426,-8.067466735839844,0.2542111873626709
1767829403626,1767829403.6249807,-3.058011293411255,-10.557241439819336,0.09719839692115784
1767829403688,1767829403.6849422,-3.03558087348938,-11.72362232208252,-0.4635615944862366
1767829403688,1767829403.6849616,-3.132779121398926,-10.594625473022461,-1.3607776165008545
1767829403688,1767829403.6849806,-2.579495906829834,-8.179618835449219,-1.8841536045074463
1767829403745,1767829403.7419424,-2.063596725463867,-6.033777713775635,-2.0037825107574463
1767829403745,1767829403.7419617,-1.9888287782669067,-4.942164897918701,-2.639310359954834
1767829403745,1767829403.7419808,-1.7794784307479858,-4.037471771240234,-3.03558087348938
1767829403803,1767829403.8019423,-1.7645248174667358,-2.168272018432617,-3.087918281555176
1767829403804,1767829403.8019617,-1.9514447450637817,0.6504815816879272,-3.028104066848755
1767829403804,1767829403.8019807,-1.9663983583450317,4.082332611083984,-2.579495906829834
1767829403869,1767829403.8629422,-1.9140608310699463,8.837577819824219,-1.3159167766571045
1767829403869,1767829403.8629615,-1.8467695713043213,12.860095977783203,-0.4635615944862366
1767829403869,1767829403.8629806,-2.265470504760742,14.572282791137695,0.08224479854106903
1767829403926,1767829403.9229424,-2.168272018432617,13.936755180358887,0.8149712085723877
1767829403926,1767829403.9229617,-2.392575979232788,11.177816390991211,1.2785327434539795
1767829403926,1767829403.9229808,-2.512204885482788,7.760918617248535,2.108457565307617
1767829403969,1767829403.9669423,-3.252408027648926,4.082332611083984,3.155209541320801
1767829403969,1767829403.9669616,-4.059902191162109,-0.007476800121366978,3.7159695625305176
1767829403969,1767829403.9669807,-5.323481559753418,-2.579495906829834,3.9851343631744385
1767829404030,1767829404.0269423,-6.347803115844727,-4.037471771240234,3.8879361152648926
1767829404032,1767829404.0269616,-7.185204982757568,-4.187007904052734,4.441219329833984
