unix_ms,lsl_unix_ts,X,Y,Z
1767829402996,1767829402.9939423,-0.2889406383037567,0.13409432768821716,0.9925544261932373
1767829402996,1767829402.9939616,-0.2928468883037567,0.14129649102687836,0.9756476879119873
1767829402996,1767829402.9939806,-0.2774660289287567,0.15545664727687836,0.9402472376823425
1767829403057,1767829403.0519423,-0.2687379717826843,0.16168224811553955,0.9300543665885925
1767829403057,1767829403.0519617,-0.2620851397514343,0.15765392780303955,0.9452521204948425
1767829403057,1767829403.0519807,-0.2582399249076843,0.15594494342803955,0.9743659496307373
1767829403134,1767829403.1289423,-0.24865740537643433,0.15234385430812836,0.9978644847869873
1767829403135,1767829403.1289616,-0.23266617953777313,0.15411387383937836,1.0014045238494873
1767829403135,1767829403.1289806,-0.21612563729286194,0.16119396686553955,0.9780890941619873
1767829403176,1767829403.1719422,-0.20745864510536194,0.16223156452178955,0.9735114574432373
1767829403176,1767829403.1719615,-0.20068374276161194,0.16210949420928955,0.9748542308807373
1767829403176,1767829403.1719806,-0.19415296614170074,0.16925060749053955,0.9910895824432373
1767829403233,1767829403.2319424,-0.17016613483428955,0.17022716999053955,1.0004889965057373
1767829403233,1767829403.2319617,-0.13922129571437836,0.17279064655303955,1.0028083324432373
1767829403233,1767829403.2319808,-0.11669930070638657,0.17395031452178955,0.9965217113494873
1767829403280,1767829403.2789423,-0.10479743778705597,0.17346203327178955,0.9911506175994873
1767829403280,1767829403.2789617,-0.09625250846147537,0.16638195514678955,0.9861457347869873
1767829403280,1767829403.2789807,-0.09387213736772537,0.16693127155303955,0.9901130199432373
1767829403343,1767829403.3409424,-0.08697515726089478,0.15533457696437836,0.9884040355682373
1767829403343,1767829403.3409617,-0.07977300882339478,0.15710461139678955,0.9914557933807373
1767829403343,1767829403.3409808,-0.08215337991714478,0.15808117389678955,0.9945685863494873
1767829403398,1767829403.3969424,-0.08697515726089478,0.15258799493312836,0.9897468090057373
1767829403398,1767829403.3969617,-0.08343511819839478,0.15856945514678955,0.9838874340057373
1767829403398,1767829403.3969808,-0.07885748147964478,0.17187511920928955,0.9876105785369873
1767829403464,1767829403.4569423,-0.07550054043531418,0.17504894733428955,0.9991462230682373
1767829403464,1767829403.4569616,-0.07824712991714478,0.18402113020420074,1.0080573558807373
1767829403464,1767829403.4569807,-0.07690434902906418,0.18658460676670074,1.0031135082244873
1767829403518,1767829403.5169423,-0.07983404397964478,0.18847669661045074,1.0003058910369873
1767829403518,1767829403.5169616,-0.08258062601089478,0.19067396223545074,0.9846198558807373
1767829403518,1767829403.5169806,-0.09088141471147537,0.19110120832920074,0.9857795238494873
1767829403580,1767829403.5759423,-0.11468514055013657,0.18914808332920074,1.0197150707244873
1767829403581,1767829403.5759616,-0.13781748712062836,0.18072523176670074,1.0413215160369873
1767829403581,1767829403.5759807,-0.15252695977687836,0.18438734114170074,1.0224006175994873
1767829403639,1767829403.6369424,-0.15673840045928955,0.18847669661045074,0.9884650707244873
1767829403639,1767829403.6369617,-0.16851818561553955,0.19238294661045074,0.9758918285369873
1767829403639,1767829403.6369808,-0.17095959186553955,0.19049085676670074,0.9562995433807373
1767829403688,1767829403.6859424,-0.17199718952178955,0.19183363020420074,0.9660041332244873
1767829403688,1767829403.6859617,-0.16876232624053955,0.18872083723545074,0.9805915355682373
1767829403688,1767829403.6859808,-0.17303478717803955,0.18371595442295074,0.9906013011932373
1767829403745,1767829403.7419424,-0.17767347395420074,0.18304456770420074,0.9821784496307373
1767829403745,1767829403.7419617,-0.17645275592803955,0.18811048567295074,0.9747321605682373
1767829403745,1767829403.7419808,-0.17767347395420074,0.18872083723545074,0.9785163402557373
1767829403803,1767829403.8019423,-0.17700208723545074,0.18286146223545074,0.9805305004119873
1767829403803,1767829403.8019617,-0.17224133014678955,0.18060316145420074,0.9838263988494873
1767829403803,1767829403.8019807,-0.17077648639678955,0.18115247786045074,0.9931647777557373
1767829403869,1767829403.8639424,-0.16857922077178955,0.17968763411045074,0.9954841136932373
1767829403869,1767829403.8639617,-0.16320812702178955,0.17816175520420074,0.9919440746307373
1767829403869,1767829403.8639808,-0.16711437702178955,0.16748058795928955,0.9990851879119873
1767829403926,1767829403.9239423,-0.16455090045928955,0.16040050983428955,0.9888312816619873
1767829403926,1767829403.9239616,-0.16265881061553955,0.16229259967803955,0.9782111644744873
1767829403926,1767829403.9239807,-0.16040050983428955,0.15771496295928955,0.9766852855682373
1767829403969,1767829403.9669423,-0.15057383477687836,0.16204845905303955,0.9708259105682373
1767829403969,1767829403.9669616,-0.14373789727687836,0.17010509967803955,0.9617316722869873
1767829403969,1767829403.9669807,-0.13989268243312836,0.17852796614170074,0.9687507152557373
1767829404030,1767829404.0269423,-0.15014658868312836,0.18908704817295074,0.9882819652557373
1767829404030,1767829404.0269616,-0.15582285821437836,0.19531263411045074,0.9995124340057373
1767829404030,1767829404.0269806,-0.16827404499053955,0.19940200448036194,1.0056159496307373
1767829404091,1767829404.0869422,-0.18151868879795074,0.19946303963661194,1.0067756175994873
1767829404091,1767829404.0869615,-0.18157972395420074,0.19775405526161194,0.9986579418182373
1767829404091,1767829404.0869806,-0.18804945051670074,0.19604505598545074,0.9888312816619873
1767829404153,1767829404.1469424,-0.19415296614170074,0.19396986067295074,0.9724738597869873
1767829404153,1767829404.1469617,-0.19879165291786194,0.19079603254795074,0.9631354808807373
1767829404153,1767829404.1469808,-0.20300307869911194,0.19384779036045074,0.9674689769744873
1767829404197,1767829404.1939423,-0.20574966073036194,0.19750991463661194,0.9801032543182373
1767829404197,1767829404.1939616,-0.21502700448036194,0.19842544198036194,0.9887092113494873
1767829404197,1767829404.1939807,-0.21942155063152313,0.19891372323036194,0.9918830394744873
1767829404254,1767829404.2519424,-0.22412125766277313,0.19287122786045074,0.9900519847869873
1767829404254,1767829404.2519617,-0.23083512485027313,0.18847669661045074,0.9887092113494873
1767829404254,1767829404.2519808,-0.22882096469402313,0.18341077864170074,0.9794318675994873
1767829404318,1767829404.3139422,-0.22711198031902313,0.17913831770420074,0.9766852855682373
1767829404318,1767829404.3139615,-0.22119157016277313,0.17401134967803955,0.9711921215057373
1767829404318,1767829404.3139806,-0.22149674594402313,0.17321789264678955,0.9696662425994873
1767829404375,1767829404.3719423,-0.22515885531902313,0.16729748249053955,0.9699714183807373
1767829404375,1767829404.3719616,-0.22485367953777313,0.16107189655303955,0.9724128246307373
1767829404375,1767829404.3719807,-0.21801772713661194,0.15917980670928955,0.9736335277557373
1767829404423,1767829404.4209423,-0.21502700448036194,0.15649425983428955,0.9661872386932373
