unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10,Right AUX
1767829402968,1767829402.915125,-24.90234375,-41.50390625,-47.36328125,-36.1328125,51.7578125
1767829402968,1767829402.9190311,-32.2265625,-48.33984375,-45.8984375,-43.45703125,-54.19921875
1767829402968,1767829402.9229374,-30.76171875,-49.8046875,-45.8984375,-42.96875,-110.3515625
1767829402968,1767829402.9268436,-26.85546875,-44.921875,-46.38671875,-33.203125,-46.38671875
1767829402968,1767829402.93075,-35.15625,-45.8984375,-42.48046875,-27.34375,-42.48046875
1767829402968,1767829402.9346561,-36.1328125,-43.45703125,-38.0859375,-33.69140625,-140.13671875
1767829402968,1767829402.9385624,-39.0625,-47.8515625,-44.43359375,-43.45703125,-166.9921875
1767829402968,1767829402.9424686,-38.0859375,-51.26953125,-48.828125,-38.0859375,43.9453125
1767829402968,1767829402.946375,-34.66796875,-46.38671875,-44.43359375,-29.296875,359.375
1767829402968,1767829402.9502811,-33.69140625,-36.62109375,-44.43359375,-41.50390625,5.859375
1767829402968,1767829402.9541874,-37.109375,-38.0859375,-45.8984375,-48.828125,-233.3984375
1767829402968,1767829402.9580936,-41.50390625,-37.59765625,-38.57421875,-46.38671875,-78.61328125
1767829403057,1767829402.975125,-31.73828125,-30.2734375,-39.0625,-48.33984375,-8.30078125
1767829403057,1767829402.9790313,-28.80859375,-27.83203125,-43.9453125,-48.33984375,-28.80859375
1767829403057,1767829402.9829376,-34.1796875,-31.73828125,-42.48046875,-50.78125,8.30078125
1767829403057,1767829402.9868438,-35.64453125,-33.203125,-39.55078125,-46.38671875,164.0625
1767829403057,1767829402.99075,-36.1328125,-27.83203125,-38.57421875,-44.43359375,22.94921875
1767829403057,1767829402.9946563,-42.48046875,-21.97265625,-41.015625,-48.33984375,8.30078125
1767829403057,1767829402.9985626,-51.26953125,-15.625,-42.48046875,-46.875,237.79296875
1767829403057,1767829403.0024688,-50.78125,-6.8359375,-34.1796875,-36.62109375,301.26953125
1767829403057,1767829403.006375,-47.36328125,3.90625,-30.2734375,-41.50390625,50.78125
1767829403057,1767829403.0102813,-41.9921875,0.0,-34.1796875,-49.8046875,-134.27734375
1767829403057,1767829403.0141876,-42.48046875,-3.41796875,-33.203125,-52.24609375,-100.5859375
1767829403057,1767829403.0180938,-47.36328125,-7.32421875,-28.3203125,-57.6171875,-102.5390625
1767829403073,1767829403.006125,-50.29296875,-14.16015625,-23.92578125,-54.6875,-101.5625
1767829403073,1767829403.0100312,-48.828125,-12.20703125,-27.34375,-57.6171875,2.44140625
1767829403073,1767829403.0139375,-44.43359375,-18.06640625,-31.73828125,-56.640625,246.09375
1767829403073,1767829403.0178437,-53.22265625,-22.4609375,-33.203125,-60.05859375,198.73046875
1767829403073,1767829403.02175,-54.6875,-11.23046875,-26.3671875,-62.01171875,-299.8046875
1767829403073,1767829403.0256562,-40.52734375,-14.6484375,-25.390625,-52.734375,-285.15625
1767829403073,1767829403.0295625,-38.0859375,-18.5546875,-31.25,-56.15234375,53.7109375
1767829403073,1767829403.0334687,-45.41015625,-16.11328125,-28.80859375,-59.08203125,32.71484375
1767829403073,1767829403.037375,-51.7578125,-15.13671875,-31.25,-63.4765625,-61.5234375
1767829403073,1767829403.0412812,-45.41015625,-13.671875,-31.25,-63.4765625,-115.72265625
1767829403073,1767829403.0451875,-37.109375,-18.5546875,-22.4609375,-51.26953125,153.3203125
1767829403073,1767829403.0490937,-49.31640625,-19.04296875,-21.97265625,-58.59375,208.0078125
1767829403133,1767829403.051125,-63.4765625,-11.23046875,-28.80859375,-73.73046875,-105.95703125
1767829403133,1767829403.0550313,-64.453125,-11.23046875,-29.296875,-76.171875,9.27734375
1767829403133,1767829403.0589375,-63.4765625,-19.04296875,-27.83203125,-68.84765625,72.265625
1767829403134,1767829403.0628438,-62.01171875,-20.5078125,-28.3203125,-62.98828125,-29.296875
1767829403134,1767829403.06675,-51.7578125,-13.18359375,-29.296875,-55.17578125,-163.57421875
1767829403134,1767829403.0706563,-49.31640625,-12.20703125,-29.78515625,-46.38671875,-67.87109375
1767829403134,1767829403.0745625,-56.15234375,-13.18359375,-31.25,-49.31640625,232.91015625
1767829403134,1767829403.0784688,-52.24609375,-8.30078125,-30.2734375,-50.78125,204.1015625
1767829403134,1767829403.082375,-42.96875,-3.90625,-29.78515625,-37.59765625,-27.83203125
1767829403134,1767829403.0862813,-52.24609375,-13.671875,-34.1796875,-40.0390625,-35.15625
1767829403134,1767829403.0901875,-49.8046875,-20.01953125,-40.0390625,-51.7578125,81.54296875
1767829403134,1767829403.0940938,-37.59765625,-8.30078125,-42.96875,-55.17578125,8.7890625
1767829403160,1767829403.110125,-44.43359375,-12.6953125,-43.9453125,-53.22265625,-76.171875
1767829403160,1767829403.1140313,-50.29296875,-20.01953125,-45.41015625,-52.734375,-26.85546875
1767829403160,1767829403.1179376,-35.15625,-12.6953125,-41.50390625,-46.875,40.0390625
1767829403160,1767829403.1218438,-24.90234375,-12.20703125,-39.55078125,-41.50390625,-74.70703125
1767829403160,1767829403.12575,-34.66796875,-19.04296875,-42.96875,-53.22265625,-147.4609375
1767829403160,1767829403.1296563,-37.59765625,-20.01953125,-47.8515625,-56.15234375,175.78125
1767829403160,1767829403.1335626,-40.0390625,-12.20703125,-49.31640625,-51.26953125,207.51953125
1767829403160,1767829403.1374688,-42.48046875,-3.90625,-53.7109375,-56.640625,-190.4296875
1767829403160,1767829403.141375,-31.25,-0.48828125,-54.6875,-56.15234375,-169.921875
1767829403160,1767829403.1452813,-24.90234375,7.32421875,-48.828125,-53.22265625,-70.3125
1767829403160,1767829403.1491876,-27.34375,7.8125,-49.8046875,-49.31640625,-103.515625
1767829403160,1767829403.1530938,-18.06640625,2.9296875,-51.26953125,-50.29296875,-167.48046875
1767829403205,1767829403.155125,-14.16015625,3.41796875,-55.17578125,-43.9453125,-115.234375
1767829403205,1767829403.1590312,-22.94921875,1.46484375,-62.98828125,-44.43359375,73.2421875
