TimeStamp,unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10
2025-12-28 21:18:55.607,1766974735607,1766974735.607,751.8681,803.44324,812.3077,781.685
2025-12-28 21:18:55.608,1766974735608,1766974735.608,847.3626,808.2784,815.5311,811.9048
2025-12-28 21:18:55.608,1766974735608,1766974735.608,852.1978,805.4579,815.5311,817.5458
2025-12-28 21:18:55.608,1766974735608,1766974735.608,757.1062,798.20514,812.71063,795.38464
2025-12-28 21:18:55.609,1766974735609,1766974735.609,737.3626,796.99634,814.3223,782.8938
2025-12-28 21:18:55.609,1766974735609,1766974735.609,819.5604,804.65204,819.15753,799.41394
2025-12-28 21:18:55.609,1766974735609,1766974735.609,854.61536,807.0696,820.3663,822.7839
2025-12-28 21:18:55.610,1766974735610,1766974735.61,856.63007,814.3223,815.12823,822.381
2025-12-28 21:18:55.610,1766974735610,1766974735.61,796.99634,813.1135,821.5751,795.78754
2025-12-28 21:18:55.610,1766974735610,1766974735.61,741.79486,803.44324,820.3663,782.49084
2025-12-28 21:18:55.610,1766974735610,1766974735.61,788.5348,798.20514,816.337,808.2784
2025-12-28 21:18:55.611,1766974735611,1766974735.611,810.696,813.5165,814.3223,815.12823
2025-12-28 21:18:55.611,1766974735611,1766974735.611,739.3773,810.293,816.337,784.90845
2025-12-28 21:18:55.611,1766974735611,1766974735.611,770.80585,806.6667,814.7253,790.9524
2025-12-28 21:18:55.612,1766974735612,1766974735.612,854.21246,807.8755,812.3077,816.337
2025-12-28 21:18:55.612,1766974735612,1766974735.612,830.84247,807.47253,811.50183,811.50183
2025-12-28 21:18:55.612,1766974735612,1766974735.612,740.18317,801.8315,809.4872,783.69965
2025-12-28 21:18:55.613,1766974735613,1766974735.613,788.93774,818.3516,811.50183,784.90845
2025-12-28 21:18:55.613,1766974735613,1766974735.613,862.674,819.15753,814.7253,814.3223
2025-12-28 21:18:55.613,1766974735613,1766974735.613,846.9597,814.7253,813.5165,813.1135
2025-12-28 21:18:55.613,1766974735613,1766974735.613,758.71796,806.26373,809.4872,785.31134
2025-12-28 21:18:55.614,1766974735614,1766974735.614,767.98535,818.3516,809.4872,772.8205
2025-12-28 21:18:55.614,1766974735614,1766974735.614,849.7802,827.2161,810.293,798.20514
2025-12-28 21:18:55.614,1766974735614,1766974735.614,892.0879,828.022,812.71063,826.8132
2025-12-28 21:18:55.641,1766974735641,1766974735.641,814.3223,817.1429,817.1429,827.2161
2025-12-28 21:18:55.641,1766974735641,1766974735.641,739.7802,808.68134,819.15753,814.3223
2025-12-28 21:18:55.642,1766974735642,1766974735.642,807.0696,804.2491,815.9341,835.2747
2025-12-28 21:18:55.642,1766974735642,1766974735.642,726.8865,796.5934,809.0842,793.7729
2025-12-28 21:18:55.642,1766974735642,1766974735.642,778.86444,808.68134,821.1722,830.0366
2025-12-28 21:18:55.642,1766974735642,1766974735.642,841.7216,810.293,822.381,855.82416
2025-12-28 21:18:55.643,1766974735643,1766974735.643,749.85345,800.2198,806.26373,785.7143
2025-12-28 21:18:55.643,1766974735643,1766974735.643,851.39197,813.91943,810.293,811.9048
2025-12-28 21:18:55.643,1766974735643,1766974735.643,846.1539,814.7253,810.293,816.337
2025-12-28 21:18:55.644,1766974735644,1766974735.644,749.85345,803.8461,803.44324,789.34064
2025-12-28 21:18:55.644,1766974735644,1766974735.644,742.6007,803.44324,802.23444,782.8938
2025-12-28 21:18:55.644,1766974735644,1766974735.644,829.2308,809.89014,800.2198,793.36993
2025-12-28 21:18:55.695,1766974735695,1766974735.695,767.98535,799.41394,795.38464,785.7143
2025-12-28 21:18:55.695,1766974735695,1766974735.695,851.39197,807.0696,795.78754,804.65204
2025-12-28 21:18:55.696,1766974735696,1766974735.696,863.0769,805.05493,798.20514,813.5165
2025-12-28 21:18:55.696,1766974735696,1766974735.696,731.31866,799.81683,794.17584,764.35895
2025-12-28 21:18:55.696,1766974735696,1766974735.696,813.91943,805.05493,796.1905,789.7436
2025-12-28 21:18:55.697,1766974735697,1766974735.697,794.17584,796.5934,794.17584,802.23444
2025-12-28 21:18:55.697,1766974735697,1766974735.697,720.4396,795.38464,794.9817,777.6557
2025-12-28 21:18:55.697,1766974735697,1766974735.697,766.77655,800.6227,798.60803,776.04395
2025-12-28 21:18:55.698,1766974735698,1766974735.698,857.4359,804.2491,801.8315,807.0696
2025-12-28 21:18:55.698,1766974735698,1766974735.698,815.9341,796.5934,800.6227,805.8608
2025-12-28 21:18:55.698,1766974735698,1766974735.698,724.0659,789.7436,797.3993,774.43225
2025-12-28 21:18:55.699,1766974735699,1766974735.699,749.85345,796.5934,800.2198,773.22345
2025-12-28 21:18:55.731,1766974735731,1766974735.731,840.5128,796.1905,796.99634,801.02563
2025-12-28 21:18:55.731,1766974735731,1766974735.731,840.9158,800.6227,801.02563,796.99634
2025-12-28 21:18:55.733,1766974735733,1766974735.733,751.06226,786.9231,794.17584,773.22345
2025-12-28 21:18:55.734,1766974735734,1766974735.734,736.55676,787.72894,796.99634,764.35895
2025-12-28 21:18:55.734,1766974735734,1766974735.734,813.91943,797.3993,798.60803,791.75824
2025-12-28 21:18:55.734,1766974735734,1766974735.734,846.1539,801.8315,797.3993,810.696
2025-12-28 21:18:55.734,1766974735734,1766974735.734,774.43225,796.5934,792.5641,789.34064
2025-12-28 21:18:55.735,1766974735735,1766974735.735,791.75824,793.7729,794.57874,785.7143
2025-12-28 21:18:55.735,1766974735735,1766974735.735,856.2271,796.1905,794.9817,811.9048
