time,channel,band,power
0.5,AF7,delta,0.2655430057952171
0.5859375,AF7,delta,0.48713397225225896
0.671875,AF7,delta,0.6072129121070189
0.7578125,AF7,delta,0.6960154537322437
0.84375,AF7,delta,0.7895049182854904
0.9296875,AF7,delta,0.8895861020297318
1.015625,AF7,delta,0.9692045387422152
1.1015625,AF7,delta,0.9853178111267619
1.1875,AF7,delta,0.9246489693975554
1.2734375,AF7,delta,0.7685306330234465
1.359375,AF7,delta,0.5682493527371879
1.4453125,AF7,delta,0.4199342534140685
1.53125,AF7,delta,0.4434835911304023
1.6171875,AF7,delta,0.594795493758403
1.703125,AF7,delta,0.6973207484188828
1.7890625,AF7,delta,0.7724741941758921
1.875,AF7,delta,0.8688171863005738
1.9609375,AF7,delta,0.9744395499004337
2.046875,AF7,delta,1.0724744367336227
2.1328125,AF7,delta,1.1291604171125074
2.21875,AF7,delta,1.1169363907050034
2.3046875,AF7,delta,1.039150210407168
2.390625,AF7,delta,0.897586596226201
2.4765625,AF7,delta,0.7711030190139495
2.5625,AF7,delta,0.6367371371278356
2.6484375,AF7,delta,0.5628531188102847
2.734375,AF7,delta,0.6135392630057647
2.8203125,AF7,delta,0.6758014998912986
2.90625,AF7,delta,0.7460852437324597
2.9921875,AF7,delta,0.8238140516400058
3.078125,AF7,delta,0.8284727605596014
3.1640625,AF7,delta,0.7631126602211785
3.25,AF7,delta,0.6254686380881008
3.3359375,AF7,delta,0.484566116198179
3.421875,AF7,delta,0.3755633316904793
3.5078125,AF7,delta,0.3459127484760621
3.59375,AF7,delta,0.35150969305026086
3.6796875,AF7,delta,0.27954274759494246
3.765625,AF7,delta,0.1521834086746066
3.8515625,AF7,delta,0.03429550506335528
3.9375,AF7,delta,-0.021716834927425797
4.0234375,AF7,delta,0.05233058079168368
4.109375,AF7,delta,0.158760169999795
4.1953125,AF7,delta,0.2112914766478276
4.28125,AF7,delta,0.22816696823925345
4.3671875,AF7,delta,0.17624989363240184
4.453125,AF7,delta,0.20914440020392844
4.5390625,AF7,delta,0.3519647188582056
4.625,AF7,delta,0.524870627453084
4.7109375,AF7,delta,0.7061532528516309
4.796875,AF7,delta,0.8216186946861989
4.8828125,AF7,delta,0.8776260947028738
4.96875,AF7,delta,0.897519265360628
5.0546875,AF7,delta,0.8743119641562284
5.140625,AF7,delta,0.8152547293359109
5.2265625,AF7,delta,0.6919741774040871
5.3125,AF7,delta,0.46821403712579773
5.3984375,AF7,delta,0.22731514370156922
5.484375,AF7,delta,-0.024791136965894058
5.5703125,AF7,delta,-0.31219540643199406
5.65625,AF7,delta,-0.8545400892451702
5.7421875,AF7,delta,-1.0130999180463613
5.828125,AF7,delta,-1.0830590122086896
5.9140625,AF7,delta,-1.1556684896576879
6.0,AF7,delta,-1.1910533384544013
6.0859375,AF7,delta,-1.0998549774825017
6.171875,AF7,delta,-0.9008455627313883
6.2578125,AF7,delta,-0.780576442757074
6.34375,AF7,delta,-0.7553015886980731
6.4296875,AF7,delta,-0.7637696947668028
6.515625,AF7,delta,-0.8499789002398493
6.6015625,AF7,delta,-0.9402438275188882
6.6875,AF7,delta,-0.9869414655992804
6.7734375,AF7,delta,-0.9671144640643218
6.859375,AF7,delta,-0.9798291528990448
6.9453125,AF7,delta,-0.9798010773915268
7.03125,AF7,delta,-0.8852613330292152
7.1171875,AF7,delta,-0.8026570924209853
7.203125,AF7,delta,-0.7104605508022528
7.2890625,AF7,delta,-0.79753278855285
7.375,AF7,delta,-0.8322357049227862
7.4609375,AF7,delta,-0.7120058914445153
7.546875,AF7,delta,-0.5638816048900261
7.6328125,AF7,delta,-0.38805080208404547
7.71875,AF7,delta,-0.2430627452721562
7.8046875,AF7,delta,-0.18346305106099103
7.890625,AF7,delta,-0.21369611796142093
7.9765625,AF7,delta,-0.34710655076791985
8.0625,AF7,delta,-0.5561216003367448
8.1484375,AF7,delta,-0.8124003936557669
8.234375,AF7,delta,-1.0664071919112261
8.3203125,AF7,delta,-1.4189916816393489
8.40625,AF7,delta,-1.6325334428948266
8.4921875,AF7,delta,-1.5249985264792134
8.578125,AF7,delta,-1.3151084016869918
8.6640625,AF7,delta,-1.077474069836726
8.75,AF7,delta,-0.8911524137696891
8.8359375,AF7,delta,-0.5794795942054461
8.921875,AF7,delta,-0.38731558179929715
9.0078125,AF7,delta,-0.2776743612505247
9.09375,AF7,delta,-0.2168457634563567
9.1796875,AF7,delta,-0.2379086378303132
9.265625,AF7,delta,-0.3220822877257201
9.3515625,AF7,delta,-0.40031830949358826
9.4375,AF7,delta,-0.45890157712106944
9.5234375,AF7,delta,-0.4743116264544218
9.609375,AF7,delta,-0.607500841187123
9.6953125,AF7,delta,-0.7474936671278396
9.78125,AF7,delta,-0.9018098731956625
9.8671875,AF7,delta,-0.9783419310149113
9.953125,AF7,delta,-1.0140856950233716
10.0390625,AF7,delta,-1.0117315456934608
10.125,AF7,delta,-0.8819581661310777
10.2109375,AF7,delta,-0.8029960624657103
10.296875,AF7,delta,-0.7481578820572219
10.3828125,AF7,delta,-0.7103902835757429
10.46875,AF7,delta,-0.6994020009167983
10.5546875,AF7,delta,-0.7015282484351214
10.640625,AF7,delta,-0.7596881175875952
10.7265625,AF7,delta,-0.8255025176104492
10.8125,AF7,delta,-0.8645192033680706
10.8984375,AF7,delta,-0.8482246435961149
10.984375,AF7,delta,-0.8221497643470449
11.0703125,AF7,delta,-0.8420640798171295
11.15625,AF7,delta,-0.8776245633684203
11.2421875,AF7,delta,-0.9304554497123364
11.328125,AF7,delta,-0.9963086601740074
11.4140625,AF7,delta,-1.0556973222571764
11.5,AF7,delta,-1.224692531492514
11.5859375,AF7,delta,-1.3907015782042171
11.671875,AF7,delta,-1.465177499787692
11.7578125,AF7,delta,-1.379515093775243
11.84375,AF7,delta,-1.2303230721021572
11.9296875,AF7,delta,-1.0476871104164491
12.015625,AF7,delta,-0.8839671709018301
12.1015625,AF7,delta,-0.738494511719911
12.1875,AF7,delta,-0.5858710327602772
12.2734375,AF7,delta,-0.5279619762805812
12.359375,AF7,delta,-0.4147410459884914
12.4453125,AF7,delta,-0.27785078746234254
12.53125,AF7,delta,-0.14638795349768283
12.6171875,AF7,delta,-0.012027554826040301
12.703125,AF7,delta,0.04275379700411809
