unix_ms,rel_timestamp,frame,ipd,event,gaze_target_world_pos_x,gaze_target_world_pos_y,gaze_target_world_pos_z,gaze_target_screen_pos_x,gaze_target_screen_pos_y,gaze_target_screen_pos_z,gaze_direction_x,gaze_direction_y,gaze_direction_z,gaze_target_distance,gaze_target_name,head_target_world_pos_x,head_target_world_pos_y,head_target_world_pos_z,head_target_screen_pos_x,head_target_screen_pos_y,head_target_screen_pos_z,head_direction_x,head_direction_y,head_direction_z,head_position_x,head_position_y,head_position_z,head_target_distance,head_target_name,gaze_head_rel_direction_x,gaze_head_rel_direction_y,gaze_head_rel_direction_z,gaze_head_angle_diff
1767829619540,0.2921715,1240,60,Eye Hit,-3.290597,1.508198,13.8,738.9798,758.7051,15.77228,-0.01682349,-9.790668E-05,0.9998585,15.80626,NorthBuildings_NoColliders,-3.561086,2.155196,9.170757,721.5489,792,11.20625,-0.0478666,0.05759735,0.9971917,-3.02468,1.509745,-2.004027,11.20625,NorthWalkingPole,0.03100493,-0.05773735,0.9978502,3.7576
1767829619568,0.3193798,1241,60,Eye Hit,-3.290404,1.508226,13.8,738.9131,758.6231,15.77175,-0.01682373,-9.79067E-05,0.9998585,15.8058,NorthBuildings_NoColliders,-3.559229,2.156863,9.16936,721.5491,792,11.20441,-0.04772564,0.05775309,0.9971895,-3.024491,1.509774,-2.003564,11.20441,NorthWalkingPole,0.03088907,-0.0578793,0.9978456,3.761662
1767829619593,0.3444195,1242,60,Eye Hit,-3.344889,1.491719,13.8,736.8765,758.0739,15.77305,-0.02028446,-0.001129326,0.9997936,15.80635,NorthBuildings_NoColliders,-3.558016,2.15582,9.168541,721.5493,792,11.20303,-0.0476434,0.05768535,0.9971973,-3.024266,1.50957,-2.00309,11.20303,NorthWalkingPole,0.02735868,-0.05883435,0.9978929,3.720154
1767829619607,0.3589973,1243,60,Eye Hit,-3.426833,1.485049,13.8,733.7333,758.0316,15.77657,-0.02548793,-0.001555535,0.9996739,15.80783,NorthBuildings_NoColliders,-3.554527,2.151969,9.166229,721.5497,792,11.19994,-0.04737547,0.05735126,0.9972293,-3.023924,1.509639,-2.002675,11.19993,NorthWalkingPole,0.02191115,-0.05891554,0.9980225,3.603859
1767829619624,0.3768711,1244,60,Eye Hit,-3.426543,1.484991,13.8,733.2014,758.1715,15.77672,-0.02548794,-0.001555536,0.9996739,15.80744,NorthBuildings_NoColliders,-3.542682,2.149095,9.159558,721.5509,792,11.19219,-0.04637502,0.05713946,0.9972885,-3.023644,1.509579,-2.002283,11.19219,NorthWalkingPole,0.0209893,-0.05867483,0.9980565,3.572757
1767829619647,0.3995094,1245,60,Eye Hit,-3.345328,1.534241,13.8,735.4979,760.4729,15.77602,-0.02038629,0.001571754,0.999791,15.80461,NorthBuildings_NoColliders,-3.5287,2.139237,9.154215,721.5519,792,11.18472,-0.04520176,0.05631227,0.9973894,-3.023131,1.509401,-2.001303,11.18472,NorthWalkingPole,0.02497563,-0.05469044,0.998191,3.446851
1767829619668,0.4202976,1246,60,Eye Hit,-3.344796,1.534068,13.8,734.2456,761.6045,15.77761,-0.02038606,0.001571754,0.999791,15.80372,NorthBuildings_NoColliders,-3.502711,2.117181,9.15009,721.5529,792,11.17738,-0.04295201,0.05439134,0.9975955,-3.02262,1.509228,-2.000414,11.17738,NorthWalkingPole,0.02280715,-0.05273572,0.9983481,3.293782
1767829619694,0.4458752,1247,60,Eye Hit,-3.334387,1.53534,13.8,732.652,762.8458,15.77922,-0.0197564,0.00166024,0.9998035,15.80263,NorthBuildings_NoColliders,-3.463721,2.094476,9.156833,721.5525,792,11.18043,-0.03949203,0.05235689,0.9978473,-3.022183,1.509104,-1.999527,11.18043,NorthWalkingPole,0.02004603,-0.05059085,0.9985182,3.119415
1767829619721,0.473278,1248,60,Eye Hit,-3.290324,1.512123,13.8,731.94,762.9958,15.77809,-0.01700333,0.0001995102,0.9998554,15.80091,NorthBuildings_NoColliders,-3.419287,2.076799,9.190864,721.5482,792,11.21095,-0.03546816,0.05064948,0.9980865,-3.021656,1.50897,-1.99863,11.21095,NorthWalkingPole,0.01881091,-0.0503323,0.9985554,3.080132
1767829619748,0.4992638,1249,60,Eye Hit,-3.258753,1.144547,13.8,730.9487,750.1851,15.75991,-0.015018,-0.02305148,0.9996215,15.80377,NorthBuildings_NoColliders,-3.520913,2.293396,13.8,721.0968,792,15.82514,-0.03156377,0.04957607,0.9982715,-3.021412,1.508848,-1.997788,15.82514,NorthBuildings_NoColliders,0.01706569,-0.07246659,0.9972248,4.269529
